STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;JA_N;JA_TT;JA_TX;JA_TN;JA_FK;JA_SD_S;JA_MX_FX;JA_MX_TX;JA_MX_TN;QN_6;JA_RR;JA_MX_RS;eor
        142;19550101;19551231;    5;  5.55;   7.58;   12.05;    3.71;    1.64;-999;-999;  31.0; -15.0;    5;   932.3;   39.9;eor
        142;19560101;19561231;    5;  5.47;   6.74;   11.37;    2.69;    1.84;-999;-999;  28.9; -27.4;    5;   892.5;   30.3;eor
        142;19570101;19571231;    5;  5.21;   8.37;   13.17;    4.36;    1.94;-999;-999;  35.5; -16.6;    5;   880.4;   31.8;eor
        142;19580101;19581231;    5;  5.67;   8.18;   12.85;    4.41;    2.06;-999;-999;  32.0; -15.0;    5;  1093.8;   47.9;eor
        142;19590101;19591231;    5;  5.05;   8.46;   13.79;    3.79;    2.03;-999;-999;  33.0; -18.8;    5;   758.8;   52.1;eor
        142;19600101;19601231;    5;  5.50;   7.81;   12.35;    3.58;    1.78;-999;-999;  29.8; -20.2;    5;   853.5;   42.3;eor
        142;19610101;19611231;    5;  4.76;   8.29;   13.44;    3.59;    1.63;-999;-999;  30.5; -18.0;    5;   876.9;   30.6;eor
        142;19620101;19621231;    5;  5.21;   6.53;   11.43;    1.99;    1.75;-999;-999;  32.5; -26.2;    5;   784.8;   30.4;eor
        142;19630101;19631231;    5;  5.49;   6.45;   11.25;    1.91;    1.48;-999;-999;  30.9; -27.1;    5;   782.3;   34.4;eor
        142;19640101;19641231;    5;  5.58;   7.57;   12.19;    2.92;    1.63;-999;-999;  32.7; -22.6;    5;   679.7;   25.0;eor
        142;19650101;19651231;    5;  5.74;   6.68;   11.36;    2.45;    1.98;-999;-999;  30.6; -23.4;    5;  1079.9;   48.8;eor
        142;19660101;19661231;    5;  5.56;   7.93;   12.43;    3.97;    1.98;-999;-999;  32.4; -22.4;    5;  1014.4;   31.3;eor
        142;19670101;19671231;    5;  5.00;   7.84;   12.90;    3.42;    1.91;-999;-999;  31.0; -18.1;    5;   786.3;   33.1;eor
        142;19680101;19681231;    5;  5.36;   7.24;   11.90;    3.17;    2.09;-999;-999;  28.4; -26.0;    5;   810.3;   42.6;eor
        142;19690101;19691231;    5;  5.23;   6.99;   11.92;    2.69;    2.09;-999;-999;  30.5; -23.4;    5;   719.5;   48.2;eor
        142;19700101;19701231;    5;  5.67;   7.07;   11.60;    3.16;    2.06;-999;-999;  30.8; -19.2;    5;   903.1;   36.9;eor
        142;19710101;19711231;    5;  4.76;   7.22;   12.83;    2.41;    1.70;-999;-999;  31.3; -25.0;    5;   616.8;   27.8;eor
        142;19720101;19721231;    5;  5.19;   6.87;   12.06;    2.61;    1.65;-999;-999;  33.0; -11.6;    5;   689.1;   32.4;eor
        142;19730101;19731231;    5;  5.09;   7.17;   12.13;    2.95;    1.76;-999;-999;  30.7; -25.4;    5;   784.1;   36.9;eor
        142;19740101;19741231;    5;  5.53;   8.10;   12.98;    4.22;    1.87;-999;-999;  32.5; -12.8;    5;   933.3;   29.9;eor
        142;19750101;19751231;    5;  5.06;   7.91;   12.90;    4.01;    1.66;-999;-999;  31.8; -25.3;    5;   942.7;   39.4;eor
        142;19760101;19761231;    5;  5.08;   7.53;   12.91;    2.98;    1.86;-999;-999;  35.5; -26.0;    5;   699.9;   29.3;eor
        142;19770101;19771231;    5;  5.53;   8.12;   13.06;    4.06;    2.03;-999;-999;  31.5; -14.8;    5;   945.3;   68.9;eor
        142;19780101;19781231;    5;  5.46;   6.82;   11.78;    2.59;    2.04;-999;-999;  30.0; -20.5;    5;   855.9;   46.1;eor
        142;19790101;19791231;    5;  5.19;   7.60;   12.77;    3.39;    1.98;-999;-999;  31.2; -20.3;    5;  1018.1;   63.6;eor
        142;19800101;19801231;    5;  5.41;   6.97;   11.80;    2.95;    2.20;-999;-999;  33.6; -19.2;    5;   939.1;   42.8;eor
        142;19810101;19811231;   10;  5.29;   7.54;   12.55;    3.05;    2.45;-999;-999;  30.5; -21.8;   10;  1106.3;   53.7;eor
        142;19820101;19821231;   10;  4.83;   8.00;   13.49;    3.55;    2.35;-999;-999;  32.7; -21.2;   10;   835.8;   29.0;eor
        142;19830101;19831231;   10;  4.63;   8.22;   13.96;    3.49;    2.60;-999;-999;  37.0; -17.0;   10;   795.2;   42.8;eor
        142;19840101;19841231;   10;  5.19;   7.04;   12.46;    2.55;    2.34;-999;-999;  35.2; -20.0;   10;   823.6;   40.8;eor
        142;19850101;19851231;   10;  5.03;   6.75;   12.72;    2.06;    2.26;-999;-999;  33.4; -29.0;   10;   936.8;   36.3;eor
        142;19860101;19861231;   10;  5.11;   7.44;   13.39;    2.95;    2.33;-999;-999;  32.7; -25.2;   10;   890.0;   30.6;eor
        142;19870101;19871231;   10;  5.51;   7.31;   12.57;    3.37;    2.38;-999;-999;  32.0; -27.0;   10;  1060.2;   58.1;eor
        142;19880101;19881231;   10;  5.34;   8.58;   13.88;    4.39;    2.49;-999;-999;  34.0; -15.2;   10;   965.2;   30.4;eor
        142;19890101;19891231;   10;  5.11;   8.47;   14.09;    4.11;    2.11;-999;-999;  33.5; -14.6;   10;   787.5;   29.1;eor
        142;19900101;19901231;   10;  4.80;   8.50;   14.45;    3.68;    2.12;-999;-999;  33.4; -15.2;   10;   861.1;   40.7;eor
        142;19910101;19911231;   10;  5.03;   7.44;   12.95;    2.95;    2.05;-999;-999;  33.4; -19.2;    9;   750.6;   50.7;eor
        142;19920101;19921231;   10;  5.08;   8.79;   14.15;    4.40;    2.17;-999;-999;  35.8; -14.8;    9;   915.3;   45.0;eor
        142;19930101;19931231;   10;  5.28;   8.23;   13.42;    3.81;    2.15;-999;-999;  31.2; -19.2;    9;   999.6;   48.0;eor
        142;19940101;19941231;   10;  5.38;   9.71;   15.00;    5.38;    2.01;-999;-999;  34.8; -15.2;    9;   801.9;   49.7;eor
        142;19950101;19951231;   10;  5.73;   8.36;   13.38;    4.25;    2.04;-999;-999;  34.4; -21.0;    9;   834.4;   43.6;eor
        142;19960101;19961231;   10;  5.67;   6.87;   11.83;    2.74;    1.73;-999;-999;  31.6; -22.7;    9;   819.4;   34.3;eor
        142;19970101;19971231;   10;  5.18;   8.22;   13.49;    3.57;    2.01;-999;-999;  28.6; -16.6;    9;   784.7;   44.6;eor
        142;19980101;19981231;   10;  5.28;   8.73;   13.79;    4.25;    2.30;-999;-999;  34.1; -19.1;    9;   979.9;   39.1;eor
        142;19990101;19991231;   10;  5.33;   8.66;   13.50;    4.35;    2.35;-999;-999;  31.9; -18.0;    9;   966.6;   50.2;eor
        142;20000101;20001231;   10;  5.52;   9.32;   14.21;    5.03;    2.28;-999;-999;  31.6; -23.8;    9;   985.4;   65.6;eor
        142;20010101;20011231;   10;  5.32;   8.58;   13.30;    4.40;    2.26;-999;-999;  31.6; -23.6;    9;  1037.5;   29.5;eor
        142;20020101;20021231;   10;  5.37;   9.28;   14.19;    4.95;    2.19;-999;-999;  32.6; -16.7;    9;  1056.5;   42.5;eor
        142;20030101;20031231;   10;  4.70;   8.86;   14.74;    3.83;    2.11;-999;-999;  36.4; -17.7;    9;   643.1;   29.9;eor
        142;20040101;20041231;   10;  5.38;   8.43;   13.20;    4.10;    2.27;-999;-999;  30.4; -17.6;    9;   851.0;   34.9;eor
        142;20050101;20051231;   10;  5.19;   8.04;   13.06;    3.67;    2.26;-999;-999;  33.2; -26.0;    9;   984.0;   45.9;eor
        142;20060101;20061231;   10;  4.87;   8.74;   13.34;    4.34;    2.65;-999;-999;  34.3; -15.8;    9;   707.6;   37.9;eor
        142;20070101;20071231;   10;  4.88;   9.40;   14.01;    5.00;    2.72;-999;-999;  34.5; -10.0;    9;   879.9;   51.7;eor
        142;20080101;20081231;   10;  4.98;   9.08;   13.68;    4.89;    2.34;-999;-999;  31.5;  -9.5;    9;   845.8;   44.4;eor
        142;20090101;20091231;   10;  5.22;   8.80;   13.39;    4.44;    2.19;-999;-999;  32.4; -18.4;    9;   804.4;   29.6;eor
        142;20100101;20101231;   10;  5.51;   7.74;   11.93;    3.61;    2.27;-999;-999;  32.4; -14.5;    9;   901.8;   44.9;eor
        142;20110101;20111231;   10;  5.01;   9.26;   14.18;    4.73;    2.29;-999;-999;  33.8; -14.8;    9;   664.3;   34.4;eor
        142;20120101;20121231;   10;  -999;   8.93;   13.47;    4.54;-999;-999;-999;  34.1; -20.0;    9;   841.3;   28.0;eor
        142;20130101;20131231;   10;  -999;   8.39;   12.53;    4.38;-999;-999;-999;  35.0; -12.0;    9;   841.0;   54.9;eor
        142;20140101;20141231;   10;  -999;   9.87;   14.44;    5.58;-999;-999;-999;  33.2; -14.7;    9;   811.2;   62.7;eor
        142;20150101;20151231;   10;  -999;   9.78;   14.62;    5.14;-999;-999;-999;  35.7; -13.2;-999;-999;-999;eor
        142;20160101;20161231;   10;  -999;   9.29;   13.91;    5.12;-999;-999;-999;  32.2; -12.9;    9;   781.5;   25.9;eor
        142;20170101;20171231;    3;  -999;   9.19;   13.99;    4.67;-999;-999;-999;  33.4; -20.3;    9;   841.1;   41.8;eor
        142;20180101;20181231;    3;  -999;  10.16;   15.08;    5.63;-999;-999;-999;  33.7; -15.9;-999;-999;-999;eor
        142;20190101;20191231;    3;  -999;   9.81;   14.65;    5.20;-999;-999;-999;  35.0; -10.1;    9;   760.2;   87.5;eor
        142;20200101;20201231;    3;  -999;   9.88;   14.65;    5.23;-999;-999;-999;  33.4;  -6.3;    3;   809.5;   46.6;eor
