STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;JA_N;JA_TT;JA_TX;JA_TN;JA_FK;JA_SD_S;JA_MX_FX;JA_MX_TX;JA_MX_TN;QN_6;JA_RR;JA_MX_RS;eor
         73;19530101;19531231;    5;  -999;   8.79;   13.23;    4.69;-999;-999;-999;-999;-999;    5;   594.5;   47.4;eor
         73;19540101;19541231;    5;  -999;   7.73;   11.71;    3.98;-999;-999;-999;-999;-999;    5;   967.2;   71.4;eor
         73;19550101;19551231;    5;  -999;   7.66;   11.76;    3.86;-999;-999;-999;-999;-999;    5;   858.6;   51.9;eor
         73;19560101;19561231;    5;  -999;   6.95;   11.16;    2.78;-999;-999;-999;-999;-999;    5;   769.7;   26.2;eor
         73;19570101;19571231;    5;  -999;   8.48;   12.58;    4.66;-999;-999;-999;-999;-999;    5;   816.4;   31.3;eor
         73;19580101;19581231;    5;  -999;   8.20;   12.30;    4.38;-999;-999;-999;-999;-999;    5;   976.1;   81.9;eor
         73;19590101;19591231;    5;  -999;   8.16;   13.76;    3.18;-999;-999;-999;-999;-999;    5;   607.2;   38.6;eor
         73;19600101;19601231;    5;  5.33;   7.87;   12.91;    3.33;    1.51; 1499.20;-999;  31.4; -22.0;    5;   899.9;   88.6;eor
         73;19610101;19611231;    5;  4.76;   8.14;   13.85;    3.21;    1.57; 1657.30;-999;  32.5; -22.5;    5;   818.4;   45.5;eor
         73;19620101;19621231;    5;  5.09;   6.47;   11.79;    1.59;    1.79; 1687.50;-999;  33.4; -25.5;    5;   754.9;   31.9;eor
         73;19630101;19631231;    5;  5.10;   6.15;   11.82;    0.82;    1.71; 1590.40;-999;  32.8; -33.5;    5;   636.9;   29.3;eor
         73;19640101;19641231;    5;  5.01;   7.24;   12.30;    2.39;    1.79; 1679.20;-999;  32.6; -25.5;    5;   777.3;   46.1;eor
         73;19650101;19651231;    5;  5.38;   6.85;   11.91;    2.26;    1.88; 1444.40;-999;  31.6; -20.5;    5;   947.5;   29.4;eor
         73;19660101;19661231;    5;  5.30;   8.20;   13.19;    3.57;    1.54; 1497.30;-999;  31.3; -25.5;    5;  1121.2;   38.7;eor
         73;19670101;19671231;    5;  4.89;   8.14;   13.48;    3.23;    1.21; 1739.30;-999;  33.2; -19.8;    5;   763.5;   22.7;eor
         73;19680101;19681231;    5;  5.19;   7.57;   12.80;    2.89;    1.10; 1591.30;-999;  31.0; -28.5;    5;   832.2;   69.5;eor
         73;19690101;19691231;    5;  4.94;   7.39;   12.80;    2.55;    1.06; 1662.20;-999;  32.0; -27.5;    5;   641.9;   24.8;eor
         73;19700101;19701231;    5;  5.54;   7.47;   12.26;    3.13;    1.21; 1437.70;-999;  31.0; -22.5;    5;  1002.9;   49.2;eor
         73;19710101;19711231;    5;  4.64;   7.62;   13.35;    2.52;    1.00; 1784.50;-999;  33.6; -21.6;    5;   611.9;   30.2;eor
         73;19720101;19721231;    5;  4.96;   7.32;   12.75;    2.66;    0.96; 1504.10;-999;  32.7; -19.0;    5;   598.6;   31.1;eor
         73;19730101;19731231;    5;  4.93;   7.34;   12.75;    2.44;    0.98; 1593.10;-999;  32.0; -27.5;    5;   720.8;   35.9;eor
         73;19740101;19741231;    5;  5.28;   8.35;   13.58;    4.09;    1.05; 1471.10;-999;  33.5; -13.5;    5;  1020.1;   43.5;eor
         73;19750101;19751231;    5;  4.96;   8.12;   13.21;    3.86;    0.85; 1517.40;-999;  29.5; -25.5;    5;   684.8;   29.2;eor
         73;19760101;19761231;    5;  4.72;   7.73;   13.34;    2.77;    0.85; 1747.30;-999;  33.0; -22.5;    5;   616.7;   29.7;eor
         73;19770101;19771231;    5;  5.46;   8.40;   13.40;    4.09;    0.84; 1357.20;-999;  31.5; -12.0;    5;   888.7;   39.2;eor
         73;19780101;19781231;    5;  5.49;   7.15;   11.92;    2.63;    0.80; 1343.20;-999;  29.0; -25.0;    5;   806.2;   38.8;eor
         73;19800101;19801231;    5;  5.57;   7.44;   11.96;    3.42;    1.79; 1481.00;-999;  32.9; -16.1;    5;   734.7;   27.4;eor
         73;19810101;19811231;   10;  5.65;   8.17;   12.86;    3.94;    1.73; 1522.60;-999;  31.9; -19.6;   10;   930.4;   56.3;eor
         73;19820101;19821231;   10;  5.24;   8.60;   13.30;    4.39;    1.71; 1715.00;-999;  30.2; -24.6;   10;   710.1;   37.7;eor
         73;19830101;19831231;   10;  5.10;   8.62;   13.77;    3.96;    1.67; 1724.40;-999;  36.8; -18.9;   10;   708.4;   36.8;eor
         73;19840101;19841231;   10;  5.42;   7.74;   12.68;    3.44;    1.63; 1504.00;-999;  34.1; -17.0;   10;   658.0;   31.6;eor
         73;19850101;19851231;   10;  5.34;   7.11;   12.19;    2.67;    1.53; 1609.60;-999;  32.7; -30.9;   10;   872.0;   51.9;eor
         73;19860101;19861231;   10;  5.23;   8.03;   13.17;    3.49;    1.63; 1597.70;-999;  33.8; -23.9;   10;   767.4;   44.6;eor
         73;19870101;19871231;   10;  5.48;   7.72;   12.53;    3.52;    1.52; 1393.80;-999;  31.8; -26.7;   10;   958.2;   78.8;eor
         73;19880101;19881231;   10;  5.41;   9.18;   13.59;    5.12;    1.75; 1525.00;-999;  34.0; -11.7;   10;   932.9;   33.2;eor
         73;19890101;19891231;   10;  5.45;   9.15;   13.89;    5.03;    1.59; 1390.80;-999;  31.6; -13.8;   10;   760.0;   97.0;eor
         73;19900101;19901231;   10;  4.97;   9.10;   14.36;    4.33;    1.62; 1655.50;-999;  31.5; -17.9;   10;   812.0;   37.6;eor
         73;19910101;19911231;   10;  5.24;   8.20;   13.21;    3.61;    1.58; 1574.10;-999;  32.6; -16.7;    9;   817.0;  117.5;eor
         73;19920101;19921231;   10;  5.33;   9.62;   14.38;    5.06;    1.67; 1531.00;-999;  36.5; -12.2;    9;   762.6;   23.8;eor
         73;19930101;19931231;   10;  5.27;   8.87;   13.64;    4.44;    1.65; 1575.20;-999;  32.0; -17.1;    9;   867.3;   34.9;eor
         73;19940101;19941231;   10;  5.28;  10.33;   15.33;    5.89;    1.55; 1723.60;-999;  34.6; -11.8;    9;   758.2;   33.2;eor
         73;19950101;19951231;   10;  5.51;   9.12;   13.86;    4.99;    1.65; 1460.40;-999;  34.9; -13.1;    9;   920.6;   79.4;eor
         73;19960101;19961231;   10;  5.49;   7.65;   12.42;    3.48;    1.44; 1564.60;-999;  32.2; -21.5;    9;   800.2;   58.5;eor
         73;19970101;19971231;   10;  5.19;   8.90;   14.05;    4.27;    1.54; 1710.20;-999;  32.0; -16.2;    9;   793.9;   41.2;eor
         73;19980101;19981231;   10;  5.46;   9.30;   14.21;    4.86;    1.56; 1579.20;-999;  34.9; -17.9;    9;   754.5;   33.9;eor
         73;19990101;19991231;   10;  5.34;   9.51;   14.15;    5.23;    1.53; 1596.20;-999;  33.5; -16.0;    9;   855.5;   34.2;eor
         73;20000101;20001231;   10;  5.31;   9.98;   14.94;    5.53;    1.54; 1633.70;-999;  33.2; -17.9;    9;   870.7;   43.0;eor
         73;20010101;20011231;   10;  5.34;   9.21;   13.85;    4.95;    1.61; 1605.20;-999;  32.5; -19.2;    9;  1000.6;   32.2;eor
         73;20020101;20021231;   10;  5.18;   9.95;   14.89;    5.46;    1.59; 1639.30;-999;  33.7; -19.8;    9;  1098.4;   43.4;eor
         73;20030101;20031231;   10;  4.47;   9.48;   15.14;    4.09;    1.55; 1973.70;-999;  37.9; -22.0;    9;   594.9;   25.3;eor
         73;20040101;20041231;   10;  5.37;   9.14;   13.91;    4.48;    1.65; 1650.80;-999;  31.8; -15.5;    9;   790.0;   38.8;eor
         73;20050101;20051231;   10;  5.33;   8.92;   13.75;    4.24;    1.66; 1687.70;-999;  34.5; -19.5;    9;   793.0;   36.4;eor
         73;20060101;20061231;   10;  5.15;   9.35;   14.23;    4.70;    1.55; 1702.60;-999;  34.2; -16.3;    9;   892.2;   32.4;eor
         73;20070101;20071231;   10;  5.04;   9.86;   15.14;    4.93;    1.36;-999;-999;  35.6; -10.5;    9;   833.6;   52.5;eor
         73;20080101;20081231;   10;  5.21;   9.31;   14.44;    4.78;    1.06; 1737.30;-999;  32.7; -12.1;    9;   712.3;   23.2;eor
         73;20090101;20091231;   10;  5.43;   9.04;   14.11;    4.44;    1.01; 1722.40;-999;  34.1; -15.6;    9;   838.7;   33.0;eor
         73;20100101;20101231;   10;  5.52;   8.16;   13.09;    3.59;    1.22; 1614.40;-999;  33.9; -19.9;    9;   763.9;   48.6;eor
         73;20110101;20111231;   10;  4.98;   9.41;   15.14;    4.33;    1.44; 1945.60;-999;  35.2; -12.5;    9;   583.8;   29.6;eor
         73;20120101;20121231;   10;  -999;   9.31;   14.61;    4.56;-999; 1816.50;-999;  35.1; -18.3;    9;   805.9;   35.4;eor
         73;20130101;20131231;   10;  -999;   9.07;   14.04;    4.63;-999; 1543.10;-999;  36.5; -11.9;    9;   728.6;   26.8;eor
         73;20140101;20141231;   10;  -999;  10.21;   15.65;    5.34;-999; 1669.70;-999;  34.4; -16.3;    9;   638.6;   42.6;eor
         73;20150101;20151231;   10;  -999;  10.11;   15.68;    5.01;-999; 1896.80;-999;  36.9; -11.4;    9;   544.6;   32.4;eor
