STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;JA_N;JA_TT;JA_TX;JA_TN;JA_FK;JA_SD_S;JA_MX_FX;JA_MX_TX;JA_MX_TN;QN_6;JA_RR;JA_MX_RS;eor
         70;19740101;19741231;    5;  5.97;   6.88;   11.18;    2.80;    1.99;-999;-999;  30.5; -14.1;    5;   903.7;   27.2;eor
         70;19750101;19751231;    5;  5.65;   6.83;   11.08;    2.65;    1.77;-999;-999;  28.7; -18.0;    5;   890.0;   34.0;eor
         70;19760101;19761231;    5;  5.35;   6.56;   11.20;    1.94;    1.86;-999;-999;  30.0; -22.0;    5;   651.6;   54.1;eor
         70;19770101;19771231;    5;  6.09;   6.88;   11.20;    2.96;    1.82;-999;-999;  28.0; -13.0;    5;  1016.6;   71.7;eor
         70;19780101;19781231;    5;  5.83;   5.85;   10.11;    2.03;    1.81;-999;-999;  25.2; -14.4;    5;  1017.7;   60.9;eor
         70;19790101;19791231;    5;  5.85;   6.47;   10.81;    2.48;    1.65;-999;-999;  27.5; -18.8;    5;   947.0;   53.5;eor
         70;19800101;19801231;    5;  5.56;   5.72;   10.04;    1.75;    1.64;-999;-999;  29.4; -17.9;    5;   959.3;   33.5;eor
         70;19810101;19811231;   10;  5.65;   6.40;   10.97;    2.19;    1.64;-999;-999;  27.4; -16.9;   10;  1052.8;   32.2;eor
         70;19820101;19821231;   10;  5.31;   6.68;   11.25;    2.72;    1.56;-999;-999;  28.1; -15.0;   10;   983.1;   45.1;eor
         70;19830101;19831231;   10;  5.02;   6.99;   11.84;    2.65;    1.66;-999;-999;  35.0; -15.0;   10;   851.2;   37.6;eor
         70;19840101;19841231;   10;  5.22;   5.97;   10.41;    1.73;    1.57;-999;-999;  33.4; -16.4;   10;   839.5;   34.8;eor
         70;19850101;19851231;   10;  5.04;   5.80;   10.76;    1.24;    1.59;-999;-999;  30.8; -24.8;   10;   729.7;   34.0;eor
