STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;JA_N;JA_TT;JA_TX;JA_TN;JA_FK;JA_SD_S;JA_MX_FX;JA_MX_TX;JA_MX_TN;QN_6;JA_RR;JA_MX_RS;eor
        400;19510101;19511231;    5;  -999;   9.46;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        400;19520101;19521231;    5;  -999;   8.16;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        400;19530101;19531231;    5;  -999;   9.75;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        400;19540101;19541231;    5;  -999;   7.97;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        400;19550101;19551231;    5;  -999;   8.00;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        400;19560101;19561231;    5;  -999;   7.27;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        400;19570101;19571231;    5;  -999;   9.07;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        400;19580101;19581231;    5;  -999;   8.59;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        400;19590101;19591231;    5;  -999;   9.53;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        400;19600101;19601231;    5;  -999;   8.77;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        400;19610101;19611231;    5;  5.41;   9.30;   13.72;    5.22;    1.94; 1518.10;-999;  32.8; -18.6;    5;   670.2;   34.3;eor
        400;19620101;19621231;    5;  5.88;   7.66;   11.41;    3.94;    2.22; 1390.10;-999;  30.1; -15.1;    5;   474.7;   23.5;eor
        400;19630101;19631231;    5;  5.60;   7.84;   12.22;    3.49;    2.06; 1776.00;-999;  35.4; -23.9;    5;   414.9;   19.3;eor
        400;19640101;19641231;    5;  5.39;   8.55;   12.53;    4.53;    2.15; 1791.10;-999;  33.6; -14.5;    5;   584.7;   41.2;eor
        400;19650101;19651231;    5;  5.70;   7.93;   12.01;    4.12;    2.28; 1577.90;-999;  29.9; -17.0;    5;   604.9;   31.7;eor
