STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;JA_N;JA_TT;JA_TX;JA_TN;JA_FK;JA_SD_S;JA_MX_FX;JA_MX_TX;JA_MX_TN;QN_6;JA_RR;JA_MX_RS;eor
        702;19470101;19471231;    5;  -999;   -999;    -999;    3.99;-999;-999;-999;-999;-999;    5;   644.6;   24.7;eor
        702;19480101;19481231;    5;  5.12;   9.33;   13.16;    5.53;    3.86;-999;-999;  33.0; -11.8;    5;   721.2;   26.1;eor
        702;19490101;19491231;    5;  4.91;   9.29;   13.03;    5.51;    3.82;-999;-999;  31.6; -10.0;    5;   787.1;   30.4;eor
        702;19500101;19501231;    5;  5.26;   8.72;   12.21;    5.14;    3.58;-999;-999;  30.3; -11.1;    5;   954.4;   26.2;eor
        702;19510101;19511231;    5;  5.01;   8.80;   12.60;    5.20;    3.48;-999;-999;  29.0; -10.3;    5;  1053.3;   41.5;eor
        702;19520101;19521231;    5;  5.45;   7.82;   11.22;    4.56;    3.21;-999;-999;  31.9; -10.9;    5;   994.9;   27.2;eor
        702;19530101;19531231;    5;  5.22;   9.27;   12.93;    5.70;    3.06;-999;-999;  31.9; -15.3;    5;   692.5;   18.9;eor
        702;19540101;19541231;    5;  5.32;   8.01;   11.31;    4.78;    3.53;-999;-999;  28.7; -17.4;    5;   978.7;   34.4;eor
        702;19550101;19551231;    5;  4.98;   8.00;   11.48;    4.59;    3.24;-999;-999;  28.6; -13.7;    5;   851.7;   38.7;eor
        702;19560101;19561231;    5;  5.14;   7.36;   10.73;    3.94;    3.45;-999;-999;  26.5; -21.4;    5;   767.8;   36.7;eor
        702;19570101;19571231;    5;  5.11;   8.99;   12.53;    5.53;    3.44;-999;-999;  32.1; -15.0;    5;   908.8;   39.4;eor
        702;19580101;19581231;    5;  5.44;   8.41;   11.88;    5.22;    3.15;-999;-999;  28.2; -13.0;    5;   853.4;   35.7;eor
        702;19590101;19591231;    5;  4.41;   9.19;   13.63;    5.03;    3.07;-999;-999;  33.6; -17.1;    5;   484.1;   20.2;eor
