STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;JA_N;JA_TT;JA_TX;JA_TN;JA_FK;JA_SD_S;JA_MX_FX;JA_MX_TX;JA_MX_TN;QN_6;JA_RR;JA_MX_RS;eor
         72;19790101;19791231;    5;  5.14;   6.15;   10.89;    2.24;    1.70; 1325.50;  24.0;  27.4; -17.1;    5;  1064.5;   53.6;eor
         72;19800101;19801231;    5;  5.04;   5.61;   10.24;    1.92;    1.66; 1218.00;-999;  29.5; -18.5;    5;  1082.8;   26.1;eor
         72;19810101;19811231;   10;  5.29;   6.25;   10.98;    2.35;    1.60; 1219.70;  25.3;  26.6; -15.8;   10;  1178.1;   37.9;eor
         72;19820101;19821231;   10;  4.73;   7.00;   11.89;    3.12;    1.50; 1216.40;  27.0;  29.5; -13.5;   10;  1125.5;   49.8;eor
         72;19830101;19831231;   10;  4.68;   7.20;   12.19;    3.04;    1.69; 1224.40;  27.1;  34.4; -13.0;   10;  1005.0;   42.9;eor
         72;19840101;19841231;   10;  4.86;   5.96;   10.64;    1.75;    1.65; 1125.90;  31.1;  34.1; -15.4;   10;   988.2;   40.4;eor
         72;19850101;19851231;   10;  4.86;   5.97;   10.97;    1.53;    1.57; 1359.20;  23.0;  31.8; -26.1;   10;   904.6;   36.3;eor
         72;19860101;19861231;   10;  5.28;   6.24;   10.93;    2.26;    1.64; 1073.50;-999;  30.4; -19.0;   10;  1367.4;   43.9;eor
         72;19870101;19871231;   10;  5.29;   6.07;   10.45;    2.20;    1.52; 1011.60;  25.0;  28.5; -26.0;   10;  1237.4;   34.8;eor
         72;19880101;19881231;   10;  5.18;   7.23;   11.73;    3.57;    1.48; 1066.20;  23.0;  30.0; -13.6;   10;  1330.9;   38.7;eor
         72;19890101;19891231;   10;  4.41;   7.69;   13.10;    3.38;    1.31; 1247.50;  21.6;  32.0; -14.2;   10;   841.3;   44.2;eor
         72;19900101;19901231;   10;  4.58;   7.32;   12.13;    3.07;    1.40; 1182.30;  26.0;  29.6; -13.0;   10;  1024.7;   27.1;eor
         72;19910101;19911231;   10;  4.56;   6.59;   11.23;    2.52;    1.40;-999;-999;  30.8; -16.4;    9;   771.7;   30.9;eor
         72;19920101;19921231;   10;  4.74;   7.67;   12.31;    3.81;    1.39;-999;  27.2;  31.0; -13.8;    9;  1125.6;   60.3;eor
         72;19930101;19931231;   10;  4.88;   7.06;   11.43;    3.21;    1.41;-999;  26.8;  29.7; -15.4;    9;  1029.1;   30.0;eor
         72;19940101;19941231;   10;  5.04;   8.34;   12.41;    4.70;    1.47;-999;  28.2;  30.2; -13.2;    9;  1181.5;   51.4;eor
