STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;JA_N;JA_TT;JA_TX;JA_TN;JA_FK;JA_SD_S;JA_MX_FX;JA_MX_TX;JA_MX_TN;QN_6;JA_RR;JA_MX_RS;eor
        132;19540101;19541231;    5;  5.46;   4.64;    8.66;    0.93;    2.40;-999;-999;  27.5; -20.5;    5;   935.8;   82.2;eor
        132;19550101;19551231;    5;  5.27;   4.64;    8.73;    0.87;    2.67;-999;-999;  27.5; -22.2;    5;   937.1;   42.4;eor
        132;19560101;19561231;    5;  5.23;   4.20;    8.06;    1.13;    2.45;-999;-999;  26.0; -28.0;    5;   887.7;   27.3;eor
        132;19570101;19571231;    5;  5.00;   6.40;   10.19;    3.20;    2.39;-999;-999;  33.5; -15.2;    5;   906.4;   45.7;eor
        132;19580101;19581231;    5;  5.59;   5.88;    9.39;    2.93;    2.25;-999;-999;  28.1; -15.3;    5;  1065.9;   52.5;eor
        132;19590101;19591231;    5;  4.34;   6.76;   10.70;    3.36;    2.13;-999;-999;  30.0; -11.5;    5;   726.1;   32.4;eor
        132;19600101;19601231;    5;  5.35;   5.58;    8.85;    2.81;    2.30;-999;-999;  28.5; -16.8;    5;   966.1;   40.7;eor
        132;19610101;19611231;    5;  4.98;   5.96;    9.44;    2.80;    2.42;-999;-999;  28.1; -19.8;    5;  1135.1;   41.3;eor
        132;19620101;19621231;    5;  4.84;   4.83;    8.31;    1.83;    2.27;-999;-999;  30.0; -19.9;    5;   774.8;   36.4;eor
        132;19630101;19631231;    5;  4.67;   5.47;    8.95;    2.37;    2.40;-999;-999;  30.2; -19.1;    5;   883.6;   48.2;eor
        132;19640101;19641231;    5;  4.64;   5.90;    9.66;    2.54;    2.57;-999;-999;  30.2; -14.9;    5;   686.6;   34.6;eor
        132;19650101;19651231;    5;  5.36;   5.16;    8.55;    2.25;    2.61;-999;-999;  30.1; -15.0;    5;  1117.7;   35.7;eor
        132;19660101;19661231;    5;  5.18;   6.42;    9.63;    3.73;    2.45;-999;-999;  30.0; -15.7;    5;  1076.9;   33.9;eor
        132;19670101;19671231;    5;  4.69;   6.26;    9.87;    3.23;    2.52;-999;-999;  29.9; -21.5;    5;   896.6;   27.4;eor
        132;19680101;19681231;    5;  4.90;   5.67;    8.89;    2.87;    2.51;-999;-999;  26.7; -17.5;    5;  1011.1;   36.8;eor
        132;19690101;19691231;    5;  4.71;   5.54;    8.88;    2.55;    2.80;-999;-999;  30.3; -19.9;    5;   770.7;   53.7;eor
        132;19700101;19701231;    5;  5.61;   5.04;    8.23;    2.26;    2.86;-999;-999;  26.3; -17.0;    5;  1020.2;   42.8;eor
        132;19710101;19711231;    5;  4.85;   6.10;    9.48;    3.00;    2.73;-999;-999;  29.6; -18.6;    5;   803.6;   52.0;eor
        132;19720101;19721231;    5;  4.92;   5.52;    8.77;    2.71;    2.87;-999;-999;  28.2; -13.8;    5;   650.1;   29.8;eor
        132;19730101;19731231;    5;  5.03;   5.70;    9.14;    2.61;    2.91;-999;-999;  28.0; -18.9;    5;   756.6;   29.0;eor
        132;19740101;19741231;    5;  5.56;   6.35;    9.53;    3.46;    3.23;-999;-999;  29.0;  -7.2;    5;  1083.4;   36.4;eor
        132;19750101;19751231;    5;  5.03;   6.71;   10.10;    3.57;    3.26;-999;-999;  29.0; -11.1;    5;   759.4;   28.9;eor
        132;19760101;19761231;    5;  4.90;   6.03;    9.59;    2.64;    3.43;-999;-999;  31.0; -16.0;    5;   682.5;   25.5;eor
        132;19770101;19771231;    5;  5.53;   6.45;    9.82;    3.45;    3.44;-999;-999;  27.0; -13.0;    5;   921.6;   35.4;eor
        132;19780101;19781231;    5;  5.59;   5.30;    8.28;    2.61;    3.71;-999;-999;  25.7; -15.0;    5;  1008.0;   56.9;eor
        132;19790101;19791231;    5;  5.43;   5.63;    8.94;    2.66;    3.82;-999;-999;  27.9; -22.0;    5;   925.6;   31.5;eor
        132;19800101;19801231;    5;  5.56;   4.96;    8.03;    2.21;    3.21;-999;-999;  29.5; -16.0;    5;   913.2;   30.7;eor
        132;19810101;19811231;   10;  5.56;   5.69;    8.95;    2.76;    3.00;-999;-999;  26.9; -16.8;   10;  1232.0;   57.5;eor
        132;19820101;19821231;   10;  4.77;   6.80;   10.33;    3.64;    2.76;-999;-999;  28.3; -17.2;   10;   775.6;   37.5;eor
        132;19830101;19831231;   10;  4.94;   6.64;   10.19;    3.36;    2.75;-999;-999;  34.9; -16.0;   10;   844.6;   38.3;eor
        132;19840101;19841231;   10;  5.37;   5.21;    8.45;    2.52;    2.90;-999;-999;  32.3; -14.5;   10;  1093.6;   57.2;eor
        132;19850101;19851231;   10;  5.24;   5.10;    8.70;    2.10;    2.75;-999;-999;  29.0; -20.9;   10;   849.3;   38.0;eor
        132;19860101;19861231;   10;  5.16;   5.70;    9.36;    2.65;    2.93;-999;-999;  28.5; -17.5;   10;  1070.5;   35.3;eor
